profile,profile_name,slot,channel,control,cc,plugin,target,ui_parameter,mpc_parameter,evidence,priority,status,notes,observed_at,mapping_fingerprint
iona-performance,Iona Perform,7,11,top-encoder-1,20,Iona,VCF Cutoff,17,4113,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,top-encoder-2,21,Iona,VCF Resonance,18,4114,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,top-encoder-3,22,Iona,VCF Env Amount,19,4115,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,top-encoder-4,23,Iona,VCF Mod Amount,20,4116,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,top-encoder-5,24,Iona,VCF KBD Amount,21,4117,hypothesis:+4096,secondary,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,top-encoder-6,25,Iona,Shape,5,4101,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,top-encoder-7,26,Iona,Lfo Speed,7,4103,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,top-encoder-8,27,Iona,VCO Lfo Pitch Modulation,8,4104,hypothesis:+4096,secondary,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,middle-encoder-1,28,Iona,Portamento Time,4,4100,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,middle-encoder-2,29,Iona,VCO Pulse Width,10,4106,hypothesis:+4096,secondary,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,middle-encoder-3,30,Iona,Delay Time,453,4549,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,middle-encoder-4,31,Iona,Delay Feedback,456,4552,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,middle-encoder-5,32,Iona,Delay Wet/Dry,462,4558,hypothesis:+4096,core,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,middle-encoder-6,33,Iona,Reverb Pre-Delay,464,4560,hypothesis:+4096,secondary,pending,,,cb4680e2713564c4
iona-performance,Iona Perform,7,11,middle-encoder-7,34,Iona,Reverb Decay,468,4564,hypothesis:+4096,core,pending,,,cb4680e2713564c4
