path,program_type,format,structural_status,sample_references,simulation_scope,semantic_verdict,semantic_issues,hardware_status,favorite,scratchpad_role,notes
MPC Expansions/Dr Bohm From Mars/Dr Bohm From Mars.xpm,Drum,xml,pass,25,production,pass,,untested,,,
MPC Expansions/Dr Bohm From Mars/Mini Bohm From Mars.xpm,Drum,xml,pass,30,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/Fisherman'sFriend.xpm,Keygroup,gzip-json,pass,97,production,pass,,pass,no,candidate:bass,"Works as expected across the Key 37, but its sound does not merit a place in the favorite Scratchpad lineup."
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/HalfSub_tri.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/Hover.xpm,Keygroup,gzip-json,pass,91,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/I'mGoingToSub1Down.xpm,Keygroup,gzip-json,pass,90,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/Loggins.xpm,Keygroup,gzip-json,pass,91,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/PortoViarta.xpm,Keygroup,gzip-json,pass,72,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/SecondStory.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/SquareTriSub.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/Sub2Down.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/SubPitchMod.xpm,Keygroup,gzip-json,pass,1,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/SubPitchMod2.xpm,Keygroup,gzip-json,pass,1,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Bass/TVOD.xpm,Keygroup,gzip-json,pass,90,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/FX/BigSub1.xpm,Keygroup,gzip-json,pass,1,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/FX/KrstlVowels.xpm,Keygroup,gzip-json,pass,83,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/FX/MostlyWyte.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/FX/Precinct420.xpm,Keygroup,gzip-json,pass,91,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/FX/Sizzler'sBoogieBuffet.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Keys and Pads/CampFire.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Keys and Pads/FallingSun.xpm,Keygroup,gzip-json,pass,89,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Keys and Pads/Fog.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Keys and Pads/Hze.xpm,Keygroup,gzip-json,pass,91,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Keys and Pads/Legacy_Pulsar.xpm,Keygroup,gzip-json,pass,79,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Keys and Pads/MoonWave.xpm,Keygroup,gzip-json,pass,90,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Keys and Pads/TinyRave.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/AttackGrail.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/BirdMusic.xpm,Keygroup,gzip-json,pass,92,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/Dekker.xpm,Keygroup,gzip-json,pass,85,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/HumanMusic.xpm,Keygroup,gzip-json,pass,73,production,pass,,pass,no,candidate:lead/pad,"Works as expected across the Key 37, but its sound does not merit a place in the favorite Scratchpad lineup."
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/IndigoRise.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/Legacy_SynthVoice.xpm,Keygroup,gzip-json,pass,79,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/RonDon's.xpm,Keygroup,gzip-json,pass,73,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/101 From Mars/Leads/SugarTyts.xpm,Keygroup,gzip-json,pass,91,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Bass/3Squares.xpm,Keygroup,gzip-json,pass,114,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Bass/AllOfMyBass.xpm,Keygroup,gzip-json,pass,84,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Bass/BillyZaneBass.xpm,Keygroup,gzip-json,pass,97,production,pass,,untested,,,
Programs/Keygroups/Samples From Mars/2600 From Mars/Bass/BoogieBassSaw.xpm,Keygroup,gzip-json,pass,109,production,pass,,untested,,,
